O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
1,ABDUL BATIN KHANDAKAR,Indian National Congress,92698,578,93276,58.58,Assam-ABHAYAPURI NORTH
2,ASRAFUL ISLAM,All India Trinamool Congress,1545,22,1567,0.98,Assam-ABHAYAPURI NORTH
3,BHUPEN ROY,Asom Gana Parishad,59637,858,60495,38,Assam-ABHAYAPURI NORTH
4,AJANTA BARUAH,Assam Jatiya Parishad,1173,91,1264,0.79,Assam-ABHAYAPURI NORTH
5,SHYAM RAJ RABHA,Janata Dal  (United),349,17,366,0.23,Assam-ABHAYAPURI NORTH
6,JAHIDUL ISLAM,Independent,406,7,413,0.26,Assam-ABHAYAPURI NORTH
7,SHEIKH ABDULLAH,Independent,808,3,811,0.51,Assam-ABHAYAPURI NORTH
8,NOTA,None of the Above,1015,10,1025,0.64,Assam-ABHAYAPURI NORTH
1,PURNENDU BANIKYA,Asom Gana Parishad,65130,739,65869,35.59,Assam-ABHAYAPURI SOUTH
2,PRADIP SARKAR,Indian National Congress,112341,613,112954,61.04,Assam-ABHAYAPURI SOUTH
3,KAUSHIK RANJAN DAS,Independent,2090,15,2105,1.14,Assam-ABHAYAPURI SOUTH
4,ROMONATH MONDAL,Independent,2469,20,2489,1.34,Assam-ABHAYAPURI SOUTH
5,NOTA,None of the Above,1617,25,1642,0.89,Assam-ABHAYAPURI SOUTH
1,Aftab Uddin Laskar,Asom Gana Parishad,7458,91,7549,5.59,Assam-ALGAPUR
2,Nijam Uddin Choudhury,All India United Democratic Front,66134,651,66785,49.46,Assam-ALGAPUR
3,Moon Swarnakar,Bharatiya Janata Party,48894,287,49181,36.42,Assam-ALGAPUR
4,Simu Das,All India Forward Bloc,549,3,552,0.41,Assam-ALGAPUR
5,Alim Uddin Laskar,Independent,135,1,136,0.1,Assam-ALGAPUR
6,Imadul Islam Laskar,Independent,93,2,95,0.07,Assam-ALGAPUR
7,Kaji Abdul Hakim,Independent,279,1,280,0.21,Assam-ALGAPUR
8,Gulzar Ahmed Barbhuiya,Independent,339,0,339,0.25,Assam-ALGAPUR
9,Jahanara Begum Mazumder,Independent,314,0,314,0.23,Assam-ALGAPUR
10,Daisy Roy,Independent,1588,13,1601,1.19,Assam-ALGAPUR
11,Badrul Islam Barbhuiya,Independent,1379,24,1403,1.04,Assam-ALGAPUR
12,Babul Kumar,Independent,2339,4,2343,1.74,Assam-ALGAPUR
13,Bulbul Alam Choudhury,Independent,534,0,534,0.4,Assam-ALGAPUR
14,Brojendra Chandra Das,Independent,466,0,466,0.35,Assam-ALGAPUR
15,Manoj Kumar Malakar,Independent,793,1,794,0.59,Assam-ALGAPUR
16,Raju Das,Independent,759,1,760,0.56,Assam-ALGAPUR
17,Raju Deb,Independent,224,0,224,0.17,Assam-ALGAPUR
18,Samin Ahmed Choudhury,Independent,634,0,634,0.47,Assam-ALGAPUR
19,Saleh Ahmed Mazumder,Independent,593,1,594,0.44,Assam-ALGAPUR
20,NOTA,None of the Above,433,9,442,0.33,Assam-ALGAPUR
1,Angkita Dutta,Indian National Congress,43315,397,43712,42.08,Assam-AMGURI
2,PRODIP HAZARIKA,Asom Gana Parishad,49420,471,49891,48.03,Assam-AMGURI
3,Chandra Boruah,Assam Jatiya Parishad,6882,105,6987,6.73,Assam-AMGURI
4,Pradip Hazarika,Independent,1011,11,1022,0.98,Assam-AMGURI
5,Rajkumar Duwara,Independent,953,6,959,0.92,Assam-AMGURI
6,NOTA,None of the Above,1301,12,1313,1.26,Assam-AMGURI
1,ABDUL AZIZ,All India United Democratic Front,73908,544,74452,56.62,Assam-BADARPUR
2,BISWARUP BHATTACHARJEE,Bharatiya Janata Party,49969,535,50504,38.41,Assam-BADARPUR
3,NIZAM UDDIN,Rashtriya Ulama Council,356,3,359,0.27,Assam-BADARPUR
4,SAHAB UDDIN,Assam Jatiya Parishad,2111,12,2123,1.61,Assam-BADARPUR
5,OLIOUR RAHAMAN TAPADAR,Independent,72,0,72,0.05,Assam-BADARPUR
6,ABDUL MALIK,Independent,455,1,456,0.35,Assam-BADARPUR
7,ABDUL HASIB,Independent,157,2,159,0.12,Assam-BADARPUR
8,ABDUS SUKKUR BEIG,Independent,77,1,78,0.06,Assam-BADARPUR
9,ENAM UDDIN,Independent,98,5,103,0.08,Assam-BADARPUR
10,KABIL MIYA,Independent,290,2,292,0.22,Assam-BADARPUR
11,NAJIM UDDIN,Independent,216,2,218,0.17,Assam-BADARPUR
12,BAHAR ASHIK,Independent,175,0,175,0.13,Assam-BADARPUR
13,RASID AHMED,Independent,229,0,229,0.17,Assam-BADARPUR
14,RIYAJ UDDIN,Independent,566,0,566,0.43,Assam-BADARPUR
15,NOTA,None of the Above,1692,14,1706,1.3,Assam-BADARPUR
1,Rajib Ahmed,All India United Democratic Front,65338,77,65415,43.24,Assam-BAGHBAR
2,Sherman Ali Ahmed,Indian National Congress,79245,112,79357,52.46,Assam-BAGHBAR
3,Hasinara Khatun,Bharatiya Janata Party,3018,20,3038,2.01,Assam-BAGHBAR
4,Abdul Aziz,Voters Party  International,612,1,613,0.41,Assam-BAGHBAR
5,Salim Khan,Bhartiya Rashtrawadi Party,170,0,170,0.11,Assam-BAGHBAR
6,Jahidul Islam,Janata Dal  (United),158,0,158,0.1,Assam-BAGHBAR
7,Moshwaraf Hussein,The National Road Map Party of India,408,1,409,0.27,Assam-BAGHBAR
